frame,pose_0_landmark_0_x,pose_0_landmark_0_y,pose_0_landmark_0_z,pose_0_landmark_1_x,pose_0_landmark_1_y,pose_0_landmark_1_z,pose_0_landmark_2_x,pose_0_landmark_2_y,pose_0_landmark_2_z,pose_0_landmark_3_x,pose_0_landmark_3_y,pose_0_landmark_3_z,pose_0_landmark_4_x,pose_0_landmark_4_y,pose_0_landmark_4_z,pose_0_landmark_5_x,pose_0_landmark_5_y,pose_0_landmark_5_z,pose_0_landmark_6_x,pose_0_landmark_6_y,pose_0_landmark_6_z,pose_0_landmark_7_x,pose_0_landmark_7_y,pose_0_landmark_7_z,pose_0_landmark_8_x,pose_0_landmark_8_y,pose_0_landmark_8_z,pose_0_landmark_9_x,pose_0_landmark_9_y,pose_0_landmark_9_z,pose_0_landmark_10_x,pose_0_landmark_10_y,pose_0_landmark_10_z,pose_0_landmark_11_x,pose_0_landmark_11_y,pose_0_landmark_11_z,pose_0_landmark_12_x,pose_0_landmark_12_y,pose_0_landmark_12_z,pose_0_landmark_13_x,pose_0_landmark_13_y,pose_0_landmark_13_z,pose_0_landmark_14_x,pose_0_landmark_14_y,pose_0_landmark_14_z,pose_0_landmark_15_x,pose_0_landmark_15_y,pose_0_landmark_15_z,pose_0_landmark_16_x,pose_0_landmark_16_y,pose_0_landmark_16_z,pose_0_landmark_17_x,pose_0_landmark_17_y,pose_0_landmark_17_z,pose_0_landmark_18_x,pose_0_landmark_18_y,pose_0_landmark_18_z,pose_0_landmark_19_x,pose_0_landmark_19_y,pose_0_landmark_19_z,pose_0_landmark_20_x,pose_0_landmark_20_y,pose_0_landmark_20_z,pose_0_landmark_21_x,pose_0_landmark_21_y,pose_0_landmark_21_z,pose_0_landmark_22_x,pose_0_landmark_22_y,pose_0_landmark_22_z,pose_0_landmark_23_x,pose_0_landmark_23_y,pose_0_landmark_23_z,pose_0_landmark_24_x,pose_0_landmark_24_y,pose_0_landmark_24_z,pose_0_landmark_25_x,pose_0_landmark_25_y,pose_0_landmark_25_z,pose_0_landmark_26_x,pose_0_landmark_26_y,pose_0_landmark_26_z,pose_0_landmark_27_x,pose_0_landmark_27_y,pose_0_landmark_27_z,pose_0_landmark_28_x,pose_0_landmark_28_y,pose_0_landmark_28_z,pose_0_landmark_29_x,pose_0_landmark_29_y,pose_0_landmark_29_z,pose_0_landmark_30_x,pose_0_landmark_30_y,pose_0_landmark_30_z,pose_0_landmark_31_x,pose_0_landmark_31_y,pose_0_landmark_31_z,pose_0_landmark_32_x,pose_0_landmark_32_y,pose_0_landmark_32_z
0,0.38052818179130554,0.23471063375473022,-0.34282854199409485,0.38216522336006165,0.21486714482307434,-0.336474746465683,0.3838035762310028,0.2128402590751648,-0.33675098419189453,0.3854769766330719,0.21121221780776978,-0.33675098419189453,0.37494945526123047,0.21856021881103516,-0.34476229548454285,0.3711123764514923,0.21853098273277283,-0.3450385630130768,0.3665938675403595,0.21757540106773376,-0.34531480073928833,0.3794670104980469,0.2083280086517334,-0.2559473216533661,0.35424715280532837,0.2116914987564087,-0.2950369715690613,0.3813242018222809,0.247902512550354,-0.3063632845878601,0.37205860018730164,0.24817036092281342,-0.3193471133708954,0.40355628728866577,0.2613544762134552,-0.17555804550647736,0.31575366854667664,0.3140575885772705,-0.22694088518619537,0.42458146810531616,0.3714655041694641,-0.1515241414308548,0.3345130383968353,0.4426816999912262,-0.2545660734176636,0.4128282964229584,0.4417901337146759,-0.22086334228515625,0.39230310916900635,0.40712878108024597,-0.3176896274089813,0.41335269808769226,0.4682431221008301,-0.2367478311061859,0.4070034325122833,0.40341493487358093,-0.34724855422973633,0.40853819251060486,0.4591200649738312,-0.2502841651439667,0.40521320700645447,0.38563796877861023,-0.34614354372024536,0.40652501583099365,0.450572669506073,-0.22569775581359863,0.4013947546482086,0.385856568813324,-0.31851837038993835,0.4004721939563751,0.43545204401016235,0.023429609835147858,0.35843369364738464,0.47284844517707825,-0.02346414141356945,0.44397860765457153,0.43121767044067383,0.05165909603238106,0.3383738696575165,0.6059507727622986,-0.21091827750205994,0.4236040413379669,0.48437026143074036,0.2548423111438751,0.36928144097328186,0.7626419067382812,-0.17403866350650787,0.4199833869934082,0.4986567199230194,0.2721080780029297,0.3763071596622467,0.7907291650772095,-0.17182864248752594,0.420626163482666,0.4890757203102112,0.23909597098827362,0.37227344512939453,0.8110379576683044,-0.2657542824745178
1,0.38012489676475525,0.2386842519044876,-0.38482409715652466,0.38172951340675354,0.21848145127296448,-0.3791249096393585,0.38346004486083984,0.21691370010375977,-0.3793838322162628,0.385221928358078,0.2154800295829773,-0.3793838322162628,0.3743031322956085,0.22073332965373993,-0.38638097047805786,0.3703449070453644,0.22040382027626038,-0.38663989305496216,0.3660813271999359,0.2194792926311493,-0.38689878582954407,0.37946170568466187,0.20990702509880066,-0.2930612862110138,0.35246461629867554,0.21223855018615723,-0.3280525207519531,0.3806268870830536,0.251803457736969,-0.3455425798892975,0.3711749017238617,0.2509045898914337,-0.3569476902484894,0.40357309579849243,0.2616918385028839,-0.20234079658985138,0.31540054082870483,0.3129033148288727,-0.2502935230731964,0.42465102672576904,0.3720508813858032,-0.19468021392822266,0.33485621213912964,0.44265681505203247,-0.2696554362773895,0.41300398111343384,0.437717080116272,-0.27578845620155334,0.39308807253837585,0.4072941839694977,-0.33155393600463867,0.41413363814353943,0.46635574102401733,-0.29516246914863586,0.40723100304603577,0.40347757935523987,-0.35983672738075256,0.40870895981788635,0.45365604758262634,-0.3081008195877075,0.4056337773799896,0.38601577281951904,-0.3595230281352997,0.40660297870635986,0.44499126076698303,-0.28070271015167236,0.40159228444099426,0.3858921527862549,-0.33209028840065,0.4008222818374634,0.4380658268928528,0.022821485996246338,0.3579584062099457,0.4728366732597351,-0.022854983806610107,0.42830660939216614,0.4435289800167084,0.02421441860496998,0.3384321331977844,0.6052064895629883,-0.2808624804019928,0.3998555839061737,0.4847120940685272,0.2606189250946045,0.3692874312400818,0.7630748152732849,-0.3096393644809723,0.39657828211784363,0.49624937772750854,0.28218239545822144,0.3758043348789215,0.7924196720123291,-0.31505969166755676,0.3873971402645111,0.49542587995529175,0.24397698044776917,0.3728173077106476,0.8103237748146057,-0.4342786967754364
2,0.37789013981819153,0.24271754920482635,-0.4073736071586609,0.3796376585960388,0.2234193980693817,-0.4023270010948181,0.38149648904800415,0.22204497456550598,-0.4025791585445404,0.3834499418735504,0.2208385467529297,-0.4025791585445404,0.3720484972000122,0.22542741894721985,-0.40913501381874084,0.36820897459983826,0.22501856088638306,-0.40938714146614075,0.36406373977661133,0.22468595206737518,-0.4093896448612213,0.37903863191604614,0.21412192285060883,-0.3163212239742279,0.35021284222602844,0.21512174606323242,-0.34910306334495544,0.37831610441207886,0.2554768919944763,-0.3677782416343689,0.36858922243118286,0.2542290687561035,-0.3786191940307617,0.4040856659412384,0.26453015208244324,-0.2236243188381195,0.3138207793235779,0.3079795837402344,-0.2649157643318176,0.42344486713409424,0.37827759981155396,-0.20393678545951843,0.33467236161231995,0.44274288415908813,-0.28253546357154846,0.41331854462623596,0.4427494406700134,-0.27510157227516174,0.39066949486732483,0.412515789270401,-0.3532503545284271,0.415289044380188,0.47076138854026794,-0.2952583134174347,0.40508487820625305,0.4051778018474579,-0.382975310087204,0.40908586978912354,0.46062666177749634,-0.30935797095298767,0.40329495072364807,0.38881656527519226,-0.38422733545303345,0.40693560242652893,0.4491333067417145,-0.2803893983364105,0.3992607891559601,0.38920533657073975,-0.35474976897239685,0.4007323682308197,0.4382737874984741,0.017867278307676315,0.3556070625782013,0.4621366560459137,-0.017883749678730965,0.42544588446617126,0.4656250476837158,0.06405791640281677,0.34052327275276184,0.6011425852775574,-0.2704866826534271,0.3900637626647949,0.4919864237308502,0.3589392900466919,0.3697042167186737,0.7570580244064331,-0.2433638721704483,0.38525184988975525,0.4932025372982025,0.38669177889823914,0.3827272057533264,0.7961103320121765,-0.2424875646829605,0.3785754442214966,0.5184728503227234,0.3536272644996643,0.37025025486946106,0.8066291809082031,-0.34868481755256653
3,0.37932008504867554,0.24020536243915558,-0.3812238574028015,0.38035574555397034,0.2220166176557541,-0.3746076822280884,0.3818987011909485,0.22064554691314697,-0.3748532235622406,0.38343968987464905,0.21946163475513458,-0.3748532235622406,0.37350377440452576,0.22492504119873047,-0.3817245662212372,0.36997124552726746,0.2248043417930603,-0.3819701373577118,0.36593323945999146,0.22480005025863647,-0.38221386075019836,0.37734299898147583,0.21337176859378815,-0.28722065687179565,0.3510214388370514,0.21646492183208466,-0.32255256175994873,0.3787895143032074,0.2539925277233124,-0.3419417440891266,0.3705015778541565,0.2535320818424225,-0.3534740209579468,0.40338653326034546,0.2629792392253876,-0.20330475270748138,0.3133142590522766,0.31356871128082275,-0.23956476151943207,0.42353007197380066,0.3738854229450226,-0.18014539778232574,0.3351667821407318,0.4413224160671234,-0.2510237395763397,0.41492271423339844,0.44272056221961975,-0.24391041696071625,0.3909691572189331,0.4121963679790497,-0.3020472824573517,0.41667577624320984,0.47357723116874695,-0.263431191444397,0.4038960039615631,0.40406107902526855,-0.32832467555999756,0.40949776768684387,0.4686438739299774,-0.2769366502761841,0.40315812826156616,0.39012882113456726,-0.33004191517829895,0.406986266374588,0.4587680399417877,-0.24870054423809052,0.39934179186820984,0.3910101056098938,-0.3032754361629486,0.40256547927856445,0.43924349546432495,0.014876874163746834,0.35654208064079285,0.46744784712791443,-0.014892286621034145,0.4317947030067444,0.4654849171638489,0.1243961825966835,0.3421659469604492,0.5987436771392822,-0.2546895444393158,0.4025996923446655,0.4871019721031189,0.422369122505188,0.3712848722934723,0.7515150308609009,-0.1995553970336914,0.39879927039146423,0.48900678753852844,0.45035579800605774,0.38691678643226624,0.768913745880127,-0.1950274258852005,0.3930206298828125,0.5153349041938782,0.42113426327705383,0.36843109130859375,0.8134826421737671,-0.2856528162956238
4,0.3760477602481842,0.24429967999458313,-0.44193416833877563,0.3785139322280884,0.22452078759670258,-0.4354845881462097,0.380344957113266,0.22314263880252838,-0.4357326924800873,0.3822060227394104,0.22193430364131927,-0.4357326924800873,0.37064656615257263,0.22702977061271667,-0.44193533062934875,0.366413950920105,0.2265574336051941,-0.44218334555625916,0.362370103597641,0.2257445901632309,-0.44243139028549194,0.3782898783683777,0.21542835235595703,-0.34124308824539185,0.3479680120944977,0.21578992903232574,-0.37423983216285706,0.37655848264694214,0.2571532428264618,-0.4000200927257538,0.3662549555301666,0.25614678859710693,-0.4106881320476532,0.4041394591331482,0.2654540240764618,-0.24084171652793884,0.3133813440799713,0.30822670459747314,-0.28496253490448,0.42338356375694275,0.3785189092159271,-0.21900777518749237,0.33469900488853455,0.4386906325817108,-0.30329659581184387,0.41461291909217834,0.4467772841453552,-0.29165220260620117,0.3913677930831909,0.4133439362049103,-0.3665197491645813,0.41661468148231506,0.47835105657577515,-0.3139677941799164,0.4052814841270447,0.40501490235328674,-0.3950408697128296,0.40899962186813354,0.47220706939697266,-0.32958871126174927,0.40464407205581665,0.38980403542518616,-0.39776745438575745,0.406343549489975,0.4617428481578827,-0.2973543405532837,0.4000939428806305,0.3917606472969055,-0.3680075407028198,0.40167272090911865,0.4355945587158203,0.017129698768258095,0.3546139597892761,0.4569832980632782,-0.01715979352593422,0.4278835654258728,0.4681197702884674,0.11757507920265198,0.34911298751831055,0.5812705159187317,-0.30058711767196655,0.3990778923034668,0.48760896921157837,0.42402058839797974,0.37236303091049194,0.7441884279251099,-0.27744823694229126,0.39466172456741333,0.4869765043258667,0.45227882266044617,0.385305792093277,0.7649087309837341,-0.2769465446472168,0.39099156856536865,0.5192517042160034,0.4150821268558502,0.36860930919647217,0.8098135590553284,-0.38185399770736694
5,0.3777995705604553,0.2386120855808258,-0.37284180521965027,0.3781285881996155,0.21878229081630707,-0.364115834236145,0.3793322443962097,0.2170216143131256,-0.3643583655357361,0.3807029128074646,0.2154749482870102,-0.3643583655357361,0.3718310594558716,0.2226657122373581,-0.37356799840927124,0.3683026134967804,0.22341406345367432,-0.37381047010421753,0.364170640707016,0.2239716351032257,-0.3740530014038086,0.37510982155799866,0.21124498546123505,-0.27220502495765686,0.34894922375679016,0.2180444300174713,-0.3158327639102936,0.37720200419425964,0.2521631419658661,-0.33185797929763794,0.36838093400001526,0.25346726179122925,-0.3459163308143616,0.4032977819442749,0.2631438374519348,-0.18100717663764954,0.3133028745651245,0.3099346160888672,-0.24110020697116852,0.42242950201034546,0.3742477297782898,-0.16208551824092865,0.3333490788936615,0.4410035014152527,-0.2674974501132965,0.4153306186199188,0.447039395570755,-0.24051806330680847,0.3913589417934418,0.41105008125305176,-0.3283761739730835,0.4167194366455078,0.4778616428375244,-0.2598051428794861,0.4052104353904724,0.4048314392566681,-0.35578349232673645,0.41011902689933777,0.47084489464759827,-0.27314844727516174,0.40449342131614685,0.3899463713169098,-0.356036514043808,0.40746185183525085,0.462016761302948,-0.24609588086605072,0.40087684988975525,0.3908504247665405,-0.32838281989097595,0.39876803755760193,0.4320641756057739,0.02117002196609974,0.3525848686695099,0.4546646773815155,-0.021214762702584267,0.4233643412590027,0.4823290705680847,-0.10174957662820816,0.3550027906894684,0.5479426980018616,-0.3004654347896576,0.370030015707016,0.5560818314552307,0.0865040197968483,0.37161239981651306,0.7472780346870422,-0.2947438359260559,0.3612120747566223,0.5608358979225159,0.10305549949407578,0.3785797953605652,0.7728285789489746,-0.29617512226104736,0.3571767210960388,0.6025331020355225,0.05452784150838852,0.3706882894039154,0.8062622547149658,-0.402375727891922
6,0.3771091103553772,0.2398078888654709,-0.37633880972862244,0.3774692714214325,0.22088722884655,-0.36827853322029114,0.37884894013404846,0.2189483791589737,-0.3685217499732971,0.38030174374580383,0.21717625856399536,-0.3685217499732971,0.3709414601325989,0.22510281205177307,-0.37730011343955994,0.36734017729759216,0.2256062924861908,-0.3775433599948883,0.3633722960948944,0.22594718635082245,-0.3777866065502167,0.3748808801174164,0.21180304884910583,-0.278899222612381,0.3489137887954712,0.21908003091812134,-0.32080650329589844,0.37670964002609253,0.2527616024017334,-0.3363938629627228,0.3681143522262573,0.2542344927787781,-0.349803626537323,0.4014010727405548,0.2624222934246063,-0.18980030715465546,0.3133033812046051,0.31455111503601074,-0.24391742050647736,0.420561283826828,0.3742441236972809,-0.17248789966106415,0.33275511860847473,0.441924512386322,-0.2666943371295929,0.4152819514274597,0.4471941888332367,-0.25248849391937256,0.39049258828163147,0.41215550899505615,-0.3284066915512085,0.41674643754959106,0.476223349571228,-0.27290087938308716,0.403902530670166,0.40530118346214294,-0.3563374876976013,0.41010040044784546,0.4713749289512634,-0.28556355834007263,0.40323150157928467,0.3926905393600464,-0.35658150911331177,0.4070207178592682,0.46197643876075745,-0.2578449547290802,0.3993888199329376,0.3915626108646393,-0.32863080501556396,0.3970746397972107,0.4290340542793274,0.019275110214948654,0.35238420963287354,0.4520196318626404,-0.019306393340229988,0.41844403743743896,0.49591460824012756,-0.06650106608867645,0.36036691069602966,0.5567131042480469,-0.26639747619628906,0.3710918128490448,0.5558424592018127,0.14887849986553192,0.3741130232810974,0.7360856533050537,-0.2111770510673523,0.36335769295692444,0.5585049390792847,0.16857652366161346,0.38215258717536926,0.7665294408798218,-0.20680518448352814,0.36042577028274536,0.6023509502410889,0.1279376596212387,0.37177449464797974,0.7998174428939819,-0.3001108169555664
7,0.37306737899780273,0.2436027228832245,-0.4196716547012329,0.374810129404068,0.2257521152496338,-0.4106614887714386,0.3765430450439453,0.2242833524942398,-0.41090506315231323,0.37828147411346436,0.22282059490680695,-0.41090506315231323,0.3673253357410431,0.22814388573169708,-0.41870421171188354,0.3632626235485077,0.2280293107032776,-0.41894781589508057,0.3593407869338989,0.2276221364736557,-0.4191914200782776,0.37465620040893555,0.21617279946804047,-0.3122852146625519,0.34639105200767517,0.21979118883609772,-0.35103654861450195,0.37350577116012573,0.2556416690349579,-0.3765656352043152,0.36455777287483215,0.2557029128074646,-0.3889937102794647,0.40074458718299866,0.26406800746917725,-0.21236172318458557,0.31222838163375854,0.3155229985713959,-0.2699480652809143,0.421949177980423,0.3746514618396759,-0.20789091289043427,0.33186811208724976,0.44022858142852783,-0.3008386492729187,0.4146116375923157,0.4445633590221405,-0.30733534693717957,0.3881820738315582,0.41368648409843445,-0.3750845789909363,0.41517701745033264,0.47185587882995605,-0.33192935585975647,0.4016663134098053,0.41101473569869995,-0.4069838225841522,0.4093366861343384,0.4644627571105957,-0.34556904435157776,0.4014747440814972,0.39609476923942566,-0.4077133238315582,0.4070281982421875,0.45647820830345154,-0.31342366337776184,0.3980603814125061,0.39666324853897095,-0.37605640292167664,0.3962489366531372,0.43363556265830994,0.02296614833176136,0.3516644239425659,0.4536632299423218,-0.023011157289147377,0.4179961383342743,0.5034264326095581,-0.025277189910411835,0.3649960160255432,0.5611288547515869,-0.3115180730819702,0.3751147985458374,0.5557653903961182,0.23955793678760529,0.3741796314716339,0.7228288054466248,-0.25937598943710327,0.36815547943115234,0.5564453601837158,0.2636702358722687,0.38118526339530945,0.7610598206520081,-0.25596240162849426,0.36511996388435364,0.6047308444976807,0.2169051170349121,0.3733718693256378,0.7914479374885559,-0.3614102303981781
8,0.37453028559684753,0.24775664508342743,-0.4405630826950073,0.37538942694664,0.2282562106847763,-0.43078216910362244,0.3773261308670044,0.22627080976963043,-0.43102091550827026,0.37932491302490234,0.2242208570241928,-0.43102091550827026,0.3680843114852905,0.23199228942394257,-0.4393715560436249,0.36416876316070557,0.23252816498279572,-0.4396103322505951,0.3602010905742645,0.2325991839170456,-0.4398491084575653,0.37511375546455383,0.21618618071079254,-0.32581958174705505,0.3454781174659729,0.2245081067085266,-0.3668493926525116,0.3752387762069702,0.26023629307746887,-0.39475229382514954,0.36721742153167725,0.26142531633377075,-0.4076394736766815,0.4010690748691559,0.26355141401290894,-0.2204139530658722,0.31242677569389343,0.3127032518386841,-0.27772262692451477,0.42242804169654846,0.3772292733192444,-0.21715711057186127,0.3318670690059662,0.44158968329429626,-0.29972514510154724,0.41422227025032043,0.44781747460365295,-0.31869858503341675,0.3867710530757904,0.41446009278297424,-0.3675924837589264,0.4150233864784241,0.4755632281303406,-0.344929963350296,0.40121614933013916,0.4080096185207367,-0.3977247476577759,0.4079938232898712,0.47242972254753113,-0.3585394620895386,0.4004383981227875,0.39404842257499695,-0.39937159419059753,0.405828595161438,0.4628162384033203,-0.32490381598472595,0.39628729224205017,0.3925856947898865,-0.36854803562164307,0.3990035057067871,0.4322134256362915,0.02425711788237095,0.35349124670028687,0.45161694288253784,-0.02427414245903492,0.43080276250839233,0.49344488978385925,0.04421965777873993,0.36791786551475525,0.5627719759941101,-0.3109079897403717,0.39398524165153503,0.5458511710166931,0.32384032011032104,0.37753283977508545,0.7182357907295227,-0.2396087795495987,0.3871217370033264,0.5476604700088501,0.34938544034957886,0.3845054805278778,0.7446013689041138,-0.23366612195968628,0.3885633051395416,0.5974441766738892,0.30378225445747375,0.37418919801712036,0.7898702025413513,-0.3320884108543396
9,0.37428611516952515,0.2457095980644226,-0.3946118652820587,0.37520524859428406,0.22701340913772583,-0.38416942954063416,0.37686073780059814,0.22514022886753082,-0.38440683484077454,0.37850210070610046,0.22330808639526367,-0.38440683484077454,0.36787843704223633,0.23082765936851501,-0.39271530508995056,0.36399969458580017,0.2310764342546463,-0.39295265078544617,0.3599328398704529,0.23098605871200562,-0.392953485250473,0.3740338385105133,0.21618618071079254,-0.282558798789978,0.34570664167404175,0.2223653495311737,-0.3193676173686981,0.374402791261673,0.25798964500427246,-0.3499801754951477,0.36545050144195557,0.25825566053390503,-0.3618527948856354,0.4003099203109741,0.26357847452163696,-0.18082714080810547,0.31210172176361084,0.3141500651836395,-0.2281029224395752,0.4212683439254761,0.37695589661598206,-0.15194134414196014,0.3310975432395935,0.44038647413253784,-0.2555089294910431,0.41445621848106384,0.4529568552970886,-0.23529082536697388,0.3855854272842407,0.4135623574256897,-0.336871474981308,0.41594263911247253,0.4837522804737091,-0.25891339778900146,0.3998505473136902,0.40637487173080444,-0.36867058277130127,0.4090656042098999,0.4814939796924591,-0.27481508255004883,0.3986152708530426,0.39055970311164856,-0.36986014246940613,0.4065099358558655,0.47103211283683777,-0.2420554757118225,0.39539259672164917,0.3911387622356415,-0.33805692195892334,0.4029157757759094,0.4291089177131653,0.011040032841265202,0.3589109778404236,0.4579133093357086,-0.011135074310004711,0.4620056748390198,0.4741830825805664,-0.17257735133171082,0.3667704164981842,0.582677960395813,-0.1920056939125061,0.4572094678878784,0.5990469455718994,-0.009226321242749691,0.38764727115631104,0.7537302374839783,-0.08912041783332825,0.4522823393344879,0.6159795522689819,0.0030539087019860744,0.4010215997695923,0.7697516679763794,-0.08134700357913971,0.4599864184856415,0.6513287425041199,-0.07232144474983215,0.3690304160118103,0.812544047832489,-0.17469941079616547
